Name,Price,Colors,Product Link
Denim Jacket,$ 109.00,Denim blue,https://www.hm.com/en_us/productpage.1272730001.html
5-pack Socks,$ 17.99,"White, Black, Light gray melange, White/gray/navy blue/black",https://www.hm.com/en_us/productpage.1188057001.html
Regular Fit Hole-Knit T-Shirt,$ 29.99,"Light blue, Black, Dark gray, White",https://www.hm.com/en_us/productpage.1265991003.html
Regular-Fit Lightweight Bomber Jacket,$ 39.99,"Black, Navy blue, Dark khaki green, Light beige",https://www.hm.com/en_us/productpage.1257561001.html
3-Pack Regular-Fit Sports Shirts with DryMove™,$ 34.99,"White/dark gray/black, Black, Green/taupe/black",https://www.hm.com/en_us/productpage.1198468002.html
Regular-Fit Sports Tank Top with DryMove™,$ 9.99,"Black, Black, White",https://www.hm.com/en_us/productpage.1198604001.html
5-pack Short Boxer Briefs with Lycra®,$ 29.99,"Black, Light blue/navy blue, Navy blue, White, Gray melange, Dark red/black, Gray/black, Light blue/gray melange, Sage green/beige",https://www.hm.com/en_us/productpage.1070268001.html
Ribbed Henley Tank Top,$ 24.99,"Cream, Black",https://www.hm.com/en_us/productpage.1277883002.html
Swim Shorts,$ 17.99,"Green, Navy blue, Forest green, Light blue, White, Light blue",https://www.hm.com/en_us/productpage.1265997007.html
7-pack Ankle Socks,$ 12.99,"White, Black, Light gray melange, Navy blue/dark gray melange",https://www.hm.com/en_us/productpage.1145712002.html
Rib-knit polo jumper,$ 69.99,"Dark cerise, Cream",https://www.hm.com/en_us/productpage.1278060001.html
Cotton Raincoat,$ 269.00,Beige,https://www.hm.com/en_us/productpage.1272725001.html
Swim Shorts,$ 17.99,"Black, Navy blue, Light green, Navy blue",https://www.hm.com/en_us/productpage.0944370033.html
Rib-knit polo jumper,$ 69.99,"Cream, Dark cerise",https://www.hm.com/en_us/productpage.1278060002.html
Leather Biker Jacket,$ 329.00,Black,https://www.hm.com/en_us/productpage.1272728001.html
Regular Fit Jacket,$ 69.99,"Black, Dark beige",https://www.hm.com/en_us/productpage.1259571001.html
Cotton Bermuda Shorts,$ 69.99,Beige,https://www.hm.com/en_us/productpage.1290553001.html
Loose Denim Cargo Shorts,$ 34.99,"Denim black, Light denim blue",https://www.hm.com/en_us/productpage.1246011002.html
Knit Tank Top,$ 49.99,Gray melange,https://www.hm.com/en_us/productpage.1278061001.html
Slim-Fit Lightweight Puffer Jacket,$ 44.99,"Black, Gray, Navy blue",https://www.hm.com/en_us/productpage.1256405001.html
Washed Boxy T-Shirt,$ 34.99,"Gray, Cerise",https://www.hm.com/en_us/productpage.1277890001.html
Slim Fit Polo Shirt,$ 29.99,"Sage green, Navy blue, White, Black, Beige melange",https://www.hm.com/en_us/productpage.1245997010.html
Skinny Fit Single-Breasted Jacket,$ 74.99,"Dark gray, Black, Dark blue, Navy blue, Dark blue",https://www.hm.com/en_us/productpage.0713995061.html
Regular Fit Denim Jacket,$ 44.99,"White, Denim blue, Beige",https://www.hm.com/en_us/productpage.1262246001.html
Regular Fit Waffled T-Shirt,$ 19.99,"Black, Dark beige, Cream, Navy blue",https://www.hm.com/en_us/productpage.1263914004.html
Relaxed Fit Linen Resort Shirt,$ 34.99,"Navy blue, White",https://www.hm.com/en_us/productpage.1165059006.html
Wool-Blend Suit Pants,$ 109.00,Gray,https://www.hm.com/en_us/productpage.1272756001.html
Regular Fit Napped Jacket,$ 59.99,Dark beige,https://www.hm.com/en_us/productpage.1267623001.html
Wool-Blend Double-Breasted Jacket,$ 199.00,Gray,https://www.hm.com/en_us/productpage.1272716002.html
Slim Fit Water-repellent puffer gilet,$ 34.99,"Black, Navy blue",https://www.hm.com/en_us/productpage.1257558001.html
Washed Boxy T-Shirt,$ 34.99,"Cerise, Gray",https://www.hm.com/en_us/productpage.1277890002.html
Slim Fit Polo Shirt,$ 24.99,"Navy blue, Dark beige, White, Beige, White, Navy blue",https://www.hm.com/en_us/productpage.1247834007.html
Slim-Fit Tailored Pants,$ 34.99,"Beige, Beige, Black, Navy blue, Dark gray, Gray",https://www.hm.com/en_us/productpage.1253395005.html
